Epoch,Gen Loss,Disc Loss
1,0.7386206043554117,1.3698848125249827
2,1.2674335438925748,0.6200332601618604
3,1.5251151232838964,0.42330905623505416
4,1.7559777222114403,0.331513488263474
5,1.9371939705642416,0.2794071537846682
6,2.0862691541805485,0.2543186087446462
7,2.231911989850979,0.23484781651511755
8,2.378398260247441,0.22752841235691607
9,2.4768044826523727,0.22678002486581242
10,2.598114548354026,0.2221369365681874
11,2.646640684834528,0.2138943010233398
12,2.724789550526712,0.20479700146058213
13,2.806063240872289,0.20155091792666277
14,2.8919136405568233,0.19563927518692825
15,2.9836809919048237,0.1819116600164621
16,3.0968421039021923,0.18066802999745485
17,3.1308915618320787,0.16774430460844278
18,3.27355796563247,0.16291533682515244
19,3.2860644575032594,0.16118978267000922
20,3.3492369012019845,0.15313550236031465
